season,team,TEAM_ABBREVIATION,first_name,last_name,full_name,position,salary,MIN,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,PTS,mp,raptor_offense,raptor_defense,raptor_total,war_total
2014,Houston Rockets,MIN,Jeff,Adrien,Jeff Adrien,Power Forward,981084,215.3316667,0.432,0,0.579,77,15,9,4,9,60,961,0.164665749,-2.104197284,-1.939531535,0.391857954
2008,Detroit Pistons,DET,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,1015440,1233.825,0.437,0.402,0.817,134,44,43,28,13,363,1054,-2.171969909,1.073756459,-1.09821345,0.892136035
2009,Denver Nuggets,DEN,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,1086240,2220.996667,0.465,0.434,0.735,252,138,74,46,30,724,1300,-1.077158589,-0.714294485,-1.791453074,0.644357597
2010,Denver Nuggets,DEN,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,1959577,2324.293333,0.498,0.423,0.847,251,168,71,34,31,867,2341,0.371426836,-0.429075392,-0.057648556,3.227140916
2011,Denver Nuggets,DEN,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,7562500,2086.391667,0.471,0.398,0.798,197,149,85,36,13,943,2409,1.592216769,-0.483047223,1.109169546,4.713135834
2012,Orlando Magic,ORL,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,7750000,2306.65,0.439,0.3,0.857,239,206,138,40,11,1057,2315,1.393254618,-1.473209814,-0.079955196,3.144080798
2013,Orlando Magic,ORL,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,7312500,2552.341667,0.459,0.427,0.815,262,248,146,35,3,1330,2307,-0.379040341,-2.659854332,-3.038894672,-0.339785596
2014,Portland Trail Blazers,TOT,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,7750000,2501.548333,0.424,0.354,0.843,247,129,116,41,7,1035,2552,1.22425804,-3.02318616,-1.79892812,1.231903915
2014,Portland Trail Blazers,POR,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,7750000,751.8266667,0.414,0.4,0.851,67,28,33,9,2,264,2552,1.22425804,-3.02318616,-1.79892812,1.231903915
2014,Portland Trail Blazers,DEN,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,7750000,1749.721667,0.428,0.337,0.841,180,101,83,32,5,771,2552,1.22425804,-3.02318616,-1.79892812,1.231903915
2015,New York Knicks,NYK,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,8000000,2370.923333,0.443,0.382,0.84,266,144,82,25,10,909,2562,-0.985917143,-1.673151448,-2.659068591,0.097940159
2016,Sacramento Kings,SAC,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,12500000,1579.815,0.44,0.411,0.892,125,78,42,21,6,515,2371,-0.625410261,-2.481338924,-3.106749185,-0.424460423
2017,Sacramento Kings,ORL,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,1500000,681.575,0.401,0.386,0.846,66,30,21,4,9,179,1580,-1.252486813,-4.757288217,-6.00977503,-2.593034888
2017,Orlando Magic,ORL,Arron,Afflalo,Arron Afflalo,Shooting Guard and Small Forward,1471382,681.575,0.401,0.386,0.846,66,30,21,4,9,179,1580,-1.252486813,-4.757288217,-6.00977503,-2.593034888
2007,New Jersey Nets,TOT,Maurice,Ager,Maurice Ager,Shooting Guard,974400,165.0933333,0.323,0.158,0.5,13,8,6,0,1,51,238,-5.627079144,-1.893918415,-7.520997558,-0.588829494
2007,New Jersey Nets,NJN,Maurice,Ager,Maurice Ager,Shooting Guard,974400,88.25833333,0.421,0.273,0.167,9,4,3,0,0,36,238,-5.627079144,-1.893918415,-7.520997558,-0.588829494
2007,New Jersey Nets,DAL,Maurice,Ager,Maurice Ager,Shooting Guard,974400,76.835,0.185,0,0.833,4,4,3,0,1,15,238,-5.627079144,-1.893918415,-7.520997558,-0.588829494
2008,New Jersey Nets,NJN,Maurice,Ager,Maurice Ager,Shooting Guard,1042440,97.31666667,0.349,0,0.5,10,3,4,1,2,34,165,-4.46524407,-2.74948795,-7.214732019,-0.383936537
2008,San Antonio Spurs,SAS,Blake,Ahearn,Blake Ahearn,Point Guard,125562,18.8,0.333,0.5,1,1,2,1,1,0,8,177,-2.125465232,-1.738597727,-3.864062959,-0.101897616
2009,Charlotte Bobcats,CHA,Alexis,Ajinca,Alexis Ajinca,Power Forward and Center,1372080,29.51666667,0.5,0,0,4,0,2,1,1,10,182,-5.529795525,0.334703536,-5.195091989,-0.230726585
2010,Toronto Raptors,TOT,Alexis,Ajinca,Alexis Ajinca,Power Forward and Center,1467840,339.84,0.444,0.353,0.722,78,10,18,11,19,143,30,-5.753781699,0.266939175,-5.486842524,-0.042458406
2010,Toronto Raptors,TOR,Alexis,Ajinca,Alexis Ajinca,Power Forward and Center,1467840,264.5816667,0.465,0.333,0.733,61,8,17,8,14,114,30,-5.753781699,0.266939175,-5.486842524,-0.042458406
2010,Toronto Raptors,DAL,Alexis,Ajinca,Alexis Ajinca,Power Forward and Center,1467840,75.25833333,0.375,0.429,0.667,17,2,1,3,5,29,30,-5.753781699,0.266939175,-5.486842524,-0.042458406
2014,New Orleans Pelicans,NOP,Alexis,Ajinca,Alexis Ajinca,Power Forward and Center,981084,956.5366667,0.55,0,0.818,315,47,69,21,51,443,951,-2.054606668,-0.75344482,-2.808051489,-0.028102436
