1990-91,1991,1990,Mark Alarie,Washington Bullets,Power Forward,500000
1991-92,1992,1991,Mark Alarie,Washington Bullets,Power Forward,550000
2014-15,2015,2014,Furkan Aldemir,Philadelphia 76ers,Power Forward,3000000
2015-16,2016,2015,Furkan Aldemir,Philadelphia 76ers,Power Forward,3000000
2010-11,2011,2010,Cole Aldrich,Oklahoma City Thunder,Center,2126520
2011-12,2012,2011,Cole Aldrich,Oklahoma City Thunder,Center,2286000
2012-13,2013,2012,Cole Aldrich,Sacramento Kings,Center,2445480
2014-15,2015,2014,Cole Aldrich,New York Knicks,Center,981084
2015-16,2016,2015,Cole Aldrich,Los Angeles Clippers,Center,1100600
2016-17,2017,2016,Cole Aldrich,Minnesota Timberwolves,Center,7643979
2017-18,2018,2017,Cole Aldrich,Minnesota Timberwolves,Center,7300000
2006-07,2007,2006,LaMarcus Aldridge,Portland Trail Blazers,Power Forward and Center,4027320
2007-08,2008,2007,LaMarcus Aldridge,Portland Trail Blazers,Power Forward and Center,4329360
2008-09,2009,2008,LaMarcus Aldridge,Portland Trail Blazers,Power Forward and Center,4631400
2009-10,2010,2009,LaMarcus Aldridge,Portland Trail Blazers,Power Forward and Center,5844827
2010-11,2011,2010,LaMarcus Aldridge,Portland Trail Blazers,Power Forward and Center,11244000
2011-12,2012,2011,LaMarcus Aldridge,Portland Trail Blazers,Power Forward and Center,12372000
2012-13,2013,2012,LaMarcus Aldridge,Portland Trail Blazers,Power Forward and Center,13500000
2013-14,2014,2013,LaMarcus Aldridge,Portland Trail Blazers,Power Forward and Center,14128000
2014-15,2015,2014,LaMarcus Aldridge,Portland Trail Blazers,Power Forward and Center,16006000
2015-16,2016,2015,LaMarcus Aldridge,San Antonio Spurs,Power Forward and Center,19500000
2016-17,2017,2016,LaMarcus Aldridge,San Antonio Spurs,Power Forward and Center,20575005
2017-18,2018,2017,LaMarcus Aldridge,San Antonio Spurs,Power Forward and Center,21461010
2015-16,2016,2015,Cliff Alexander,Portland Trail Blazers,Power Forward,525093
2016-17,2017,2016,Cliff Alexander,Brooklyn Nets,Power Forward,51449
1995-96,1996,1995,Cory Alexander,San Antonio Spurs,Shooting Guard and Point Guard,490000
1996-97,1997,1996,Cory Alexander,San Antonio Spurs,Shooting Guard and Point Guard,521000
1997-98,1998,1997,Cory Alexander,San Antonio Spurs,Shooting Guard and Point Guard,562380
1999-00,2000,1999,Cory Alexander,Denver Nuggets,Shooting Guard and Point Guard,1980000
2000-01,2001,2000,Cory Alexander,Denver Nuggets,Shooting Guard and Point Guard,2160000
2001-02,2002,2001,Cory Alexander,Denver Nuggets,Shooting Guard and Point Guard,1995741
2002-03,2003,2002,Cory Alexander,Denver Nuggets,Shooting Guard and Point Guard,2149259
2003-04,2004,2003,Cory Alexander,Denver Nuggets,Shooting Guard and Point Guard,2302778
2000-01,2001,2000,Courtney Alexander,Dallas Mavericks,Point Guard and Shooting Guard,1319400
2001-02,2002,2001,Courtney Alexander,Washington Wizards,Point Guard and Shooting Guard,1418400
2002-03,2003,2002,Courtney Alexander,New Orleans Hornets,Point Guard and Shooting Guard,1517280
2003-04,2004,2003,Courtney Alexander,New Orleans Hornets,Point Guard and Shooting Guard,2168193
