"team","seasonyear","sg_totalassistslast3years","sg_totalstealslast3years","sg_totalblockslast3years","sg_totalturnoverslast3years","sg_personalfoulslast3years","sg_totalpointslast3years","pf_totalassistslast3years","pf_totalstealslast3years","pf_totalblockslast3years","pf_totalturnoverslast3years","pf_personalfoulslast3years","pf_totalpointslast3years","sf_totalassistslast3years","sf_totalstealslast3years","sf_totalblockslast3years","sf_totalturnoverslast3years","sf_personalfoulslast3years","sf_totalpointslast3years","c_totalassistslast3years","c_totalstealslast3years","c_totalblockslast3years","c_totalturnoverslast3years","c_personalfoulslast3years","c_totalpointslast3years","pg_totalassistslast3years","pg_totalstealslast3years","pg_totalblockslast3years","pg_totalturnoverslast3years","pg_personalfoulslast3years","pg_totalpointslast3years"
"ATL",2017,"63.9444444444444444","17.1111111111111111","4.55555555555555555556","38.3888888888888889","54.5000000000000000","372.1666666666666667","96.0000000000000000","44.4166666666666667","33.4166666666666667","64.5833333333333334","106.3333333333333334","542.0833333333333334","77.8000000000000000","46.4000000000000000","23.0666666666666667","56.3333333333333333","89.8666666666666667","377.6666666666666667","67.6666666666666667","36.6666666666666667","57.5000000000000000","92.3333333333333333","130.0000000000000000","575.1666666666666667","290.6666666666666667","51.6666666666666667","5.33333333333333335000","146.0000000000000000","125.0000000000000000","705.6666666666666667"
"BOS",2003,"287.6666666666666667","143.6666666666666667","72.3333333333333333","263.6666666666666667","238.3333333333333333","2087.6666666666666667","163.8888888888888889","58.7777777777777778","19.2222222222222222","112.8333333333333333","123.9444444444444444","695.6666666666666667","66.6111111111111111","46.1111111111111111","12.4444444444444444","46.8888888888888889","119.3333333333333333","322.8888888888888889","33.6666666666666667","23.6666666666666667","39.6666666666666666","55.3333333333333333","134.4444444444444444","370.5555555555555556","163.2222222222222222","49.2222222222222222","6.4444444444444444","70.7777777777777778","99.0000000000000000","572.7777777777777778"
"BOS",2004,"171.1333333333333333","70.1666666666666667","24.96666666666666668000","128.1666666666666667","131.5000000000000000","854.0000000000000000","38.4666666666666667","24.0666666666666667","25.06666666666666666000","50.8666666666666667","117.5333333333333333","313.0000000000000000","291.0000000000000000","96.6666666666666667","27.0000000000000000","204.6666666666666667","165.3333333333333333","1241.6666666666666667","26.6000000000000000","21.13333333333333334000","48.9333333333333333","46.2666666666666667","119.9333333333333333","310.4000000000000000","188.1666666666666667","71.6666666666666667","8.0000000000000000","103.3333333333333334","143.6666666666666667","473.6666666666666667"
"BOS",2005,"133.7500000000000000","62.8333333333333333","16.2500000000000000","99.5833333333333334","127.4166666666666667","612.0000000000000000","57.2222222222222222","36.2222222222222222","48.1111111111111111","57.6666666666666667","185.4444444444444444","493.6666666666666667","161.1111111111111111","62.7777777777777778","18.88888888888888890000","117.4444444444444445","120.1111111111111111","782.6666666666666667","49.3333333333333334","28.0833333333333334","49.4166666666666667","80.5000000000000000","137.5000000000000000","378.5833333333333334","346.0000000000000000","90.5833333333333334","15.0000000000000000","132.0000000000000000","157.7500000000000000","830.6666666666666667"
"BOS",2006,"158.8333333333333334","52.5000000000000000","13.0000000000000000","112.1666666666666667","109.6666666666666667","744.3333333333333334","46.8000000000000000","22.73333333333333332000","27.3666666666666667","44.6666666666666667","117.7000000000000000","351.5000000000000000","338.6666666666666667","107.8333333333333334","31.8333333333333334","235.5000000000000000","207.8333333333333333","1614.3333333333333334","31.0000000000000000","10.0000000000000000","48.0000000000000000","51.6666666666666667","101.0000000000000000","175.0000000000000000","131.7916666666666667","56.9166666666666667","14.9166666666666667","80.6250000000000000","137.5000000000000000","384.5000000000000000"
"BOS",2007,"159.9166666666666667","58.5833333333333334","19.7500000000000000","108.0833333333333333","136.8333333333333333","752.0000000000000000","53.1666666666666667","23.5000000000000000","10.1111111111111111","45.7777777777777778","86.8888888888888889","318.4444444444444444","101.7500000000000000","29.8333333333333334","13.3333333333333334","89.1666666666666667","125.2500000000000000","768.8333333333333334","31.6666666666666667","18.8000000000000000","57.4666666666666667","60.8000000000000000","140.7333333333333333","326.0000000000000000","263.3333333333333334","88.0000000000000000","7.5000000000000000","124.8333333333333334","166.0000000000000000","514.1666666666666667"
"BOS",2008,"162.6666666666666667","69.0000000000000000","15.6666666666666667","120.0000000000000000","132.0000000000000000","987.3333333333333334","121.6666666666666667","51.5000000000000000","44.9166666666666667","83.8333333333333333","156.3333333333333333","661.3333333333333334","310.6666666666666667","85.3333333333333333","27.6666666666666667","215.3333333333333333","181.6666666666666667","1619.6666666666666667","33.2083333333333333","21.2916666666666667","38.2500000000000000","59.1666666666666667","138.8750000000000000","287.8750000000000000","160.1111111111111111","58.7222222222222222","6.27777777777777776667","68.8888888888888889","95.6666666666666667","435.1666666666666667"
"BOS",2009,"109.4444444444444445","45.6666666666666667","11.1666666666666667","79.1111111111111111","92.8888888888888889","620.0555555555555556","128.6666666666666667","50.8333333333333334","59.8333333333333333","99.8333333333333333","149.6666666666666667","864.5000000000000000","98.88888888888888890000","27.77777777777777776667","9.11111111111111110000","73.11111111111111110000","77.00000000000000000000","519.6666666666666667","46.7083333333333333","21.4166666666666667","40.8750000000000000","60.5000000000000000","139.5000000000000000","282.1250000000000000","250.1111111111111111","72.7777777777777778","7.4444444444444445","101.6666666666666667","125.8888888888888889","626.8888888888888889"
"BOS",2010,"103.3333333333333334","44.41666666666666665000","11.75000000000000000000","68.58333333333333332500","97.41666666666666667500","580.2500000000000000","70.1666666666666667","34.8333333333333333","29.0833333333333333","56.0000000000000000","119.7500000000000000","446.0833333333333333","134.6111111111111111","49.7777777777777778","16.33333333333333333333","98.8888888888888889","109.7777777777777778","695.6111111111111111","94.6666666666666667","52.0000000000000000","113.5000000000000000","110.5000000000000000","224.3333333333333334","744.1666666666666667","246.0000000000000000","72.3333333333333333","7.5555555555555556","91.3333333333333333","102.4444444444444445","533.2222222222222222"
"BOS",2011,"105.7777777777777778","39.1111111111111111","11.3888888888888889","67.9444444444444445","99.0000000000000000","654.8888888888888889","98.3333333333333334","45.1666666666666667","38.8333333333333334","59.0000000000000000","114.3333333333333334","587.3333333333333334","129.1111111111111111","47.4444444444444444","21.3333333333333333","94.6666666666666667","128.4444444444444444","711.2222222222222222","59.5000000000000000","27.7500000000000000","50.6666666666666667","78.0000000000000000","161.2500000000000000","547.3333333333333333","275.8333333333333334","71.6666666666666667","8.25000000000000000000","102.4166666666666667","104.0000000000000000","549.5000000000000000"
